hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Elbasan Backpacker Hostel,US$9,"9,2",Fantástico,272,https://cf.bstatic.com/xdata/images/hotel/max1024x768/236618440.webp?k=9bc557de55768ecc20cd3d5a2238d28038b81f608c3678f33b66f8fb6472c42d&o=,https://www.booking.com/hotel/al/backpacker-hostel.es.html?aid=2410095,"Papel higiénico, Guardaequipaje, Servicio de lavandería, Extintores, Desayuno fantástico, Barbacoa, Cafetería en el alojamiento, Italiano, Zona de fumadores, Zona de juegos para niños, Francés, Noches de cine, Sala de juegos, Casino, Tendedero, Pesca, Baños termales, Submarinismo, Ciclismo, Ducha, Parking en un garaje, Tour o clase sobre cultura local, Senderismo, Zona de pícnic, Juegos de mesa / puzles, Zona de juegos interior, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Entretenimiento nocturno, WiFi gratis, Eventos deportivos en directo (emisión), Capilla, Alquiler de bicicletas, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Tours en bici, Lavadora, Snack-bar, Vistas al jardín, Cocina compartida, Equipamiento de tenis, WC, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Equitación, Parque acuático, Servicio de limpieza diario, Llave de acceso, Inglés, Ping pong, Traslado aeropuerto, Dardos, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Registro de entrada y salida exprés, Ropa de cama, Terraza, Jardín, Seguridad 24 horas, Solo para adultos, Alquiler de coches, Servicio de aparcacoches, Cenas temáticas, Información turística, Bingo, Bar, Restaurante, Taquillas, Terraza / solárium, Mobiliario exterior, Ruta de bares, Habitaciones sin humo, Happy hour, Parking gratis, Tours a pie",Elbasan,Albania,"Elbasan Backpacker Hostel dispone de bicicletas gratis, jardín, salón de uso común y terraza en Elbasan. Ofrece restaurante, bar y casino. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Algunas habitaciones también disponen de cocina con nevera, lavavajillas y tostadora. Todas las unidades disponen de ropa de cama.

En el albergue se sirve todas las mañanas un desayuno italiano.

Elbasan Backpacker Hostel ofrece baño termal. Se puede jugar a los dardos en el alojamiento, y la zona es ideal para practicar senderismo y pesca.

Plaza Skanderbeg está a 42 km del alojamiento, y Teleférico Dajti Ekspres está a 45 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 54 km."
Hotel Guri,US$65,"9,4",Fantástico,153,https://cf.bstatic.com/xdata/images/hotel/max1024x768/100577063.webp?k=ba7c10a14750775c36fc42476489d379a73d98b0603e95adec93b1da1ad82437&o=,https://www.booking.com/hotel/al/hotel-guri.es.html?aid=2410095,"Servicio de habitaciones, Zona de estar, Parking en un garaje, Terraza, TV de pantalla plana, Balcón, Jardín, Toallas / sábanas (por un suplemento), Bañera, Perchero, Menú para niños, Recepción 24 horas, Bidet, Canales vía satélite, Entrada privada, Escritorio, Caja fuerte, Plancha para ropa, Calefacción, TV, Vistas a la ciudad, Aire acondicionado, Chimenea, WiFi gratis, Utensilios de planchado, Italiano, Mosquitera, Muy buen desayuno, Bar, Baño privado, Enchufe cerca de la cama, Toallas, Inglés, Traslado aeropuerto, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Armario, Vistas al jardín, Habitaciones sin humo, Sofá, Parking gratis, WC, Habitaciones comunicadas disponibles, Minibar, Servicio de despertador",Elbasan,Albania,"Hotel Guri se encuentra en Elbasan, a 40 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis, terraza y bar. El alojamiento está a 43 km de Teleférico Dajti Ekspres, a 40 km de Former Residence of Enver Hoxha y a 40 km de Grand Park of Tirana. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana, balcón y baño privado con bidet. Todas las unidades disponen de armario.

Postbllok - Checkpoint Monument está a 40 km del alojamiento, y Pyramid of Tirana está a 40 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 53 km."
Garden Boutique Hotel,US$57,"9,2",Fantástico,307,https://cf.bstatic.com/xdata/images/hotel/max1024x768/303113929.webp?k=a94af59f12b1e1ef6358ac8e1285400c48008e4134bb97e73c573ee9a1e89d32&o=,https://www.booking.com/hotel/al/garden-boutique.es.html?aid=2410095,"Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Adaptado para sillas de ruedas, Utensilios de planchado, Cafetería en el alojamiento, Servicio de entrega de comestibles, Habitaciones insonorizadas, Zona de fumadores, Italiano, Detectores de humo, Habitaciones hipoalergénicas, Albornoz, Servicio de conserjería, Tendedero, Acceso a pisos superiores en ascensor, Buffet para niños, Ciclismo, Zona de estar, Ducha, Peluquería / salón de belleza, Senderismo, Perchero, Prohibido fumar en todo el alojamiento, Calefacción, Entretenimiento nocturno, Zona de comedor exterior, WiFi gratis, Eventos deportivos en directo (emisión), Adaptado personas de movilidad reducida, Habitaciones familiares, Teléfono, Discoteca / DJ, Snack-bar, Vistas, Armario, Vistas al jardín, Suelo de moqueta, WC, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Zona TV / salón de uso compartido, Fruta, Vistas a un lugar de interés, Zapatillas, Servicio de planchado, Desayuno en la habitación, Servicio de despertador / alarma, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Albanés, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Acceso al salón executive, Bañera o ducha, Alquiler de coches, Entrada privada, Suelo de madera o parquet, Caja fuerte, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Cuerda de emergencia en el baño, Nevera, Mosquitera, Salas de reuniones / banquetes, Bar, Toda la unidad accesible en silla de ruedas, Taquillas, Ascensor, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Happy hour, Parking gratis, Centro de negocios, Música / espectáculos en directo, Minibar, Radio, Alarma de seguridad, Servicio de despertador",Elbasan,Albania,"Garden Boutique Hotel está en Elbasan, a 41 km de Plaza Skanderbeg, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y bar. Este hotel de 4 estrellas ofrece servicio de conserjería y servicio de limpieza en seco. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación dispone de aire acondicionado, armario, terraza con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las habitaciones cuentan con nevera.

La zona es ideal para practicar ciclismo, y en Garden Boutique Hotel hay alquiler de coches.

El alojamiento ofrece servicio de planchado, así como fax y fotocopiadora.

Teleférico Dajti Ekspres está a 43 km del alojamiento, y Former Residence of Enver Hoxha está a 40 km. El aeropuerto (Aeropuerto Internacional de Tirana-Madre Teresa) está a 53 km."
Univers Resort,US$42,"7,7",Bien,189,https://cf.bstatic.com/xdata/images/hotel/max1024x768/361673347.webp?k=f058d323610702377c90b5ec978cfbe402b617c5baf02aeee22a219214d7e06e&o=,https://www.booking.com/hotel/al/univers-elbasan1.es.html?aid=2410095,"Vistas a la piscina, Menú para niños, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Secadora de ropa, Artículos de aseo gratis, Canales de pago, Barbacoa, Cafetería en el alojamiento, Utensilios de planchado, Italiano, Zona de fumadores, Zona de juegos para niños, Albornoz, Club infantil, Servicio de conserjería, Buffet para niños, Zona de estar, Ducha, Parking en un garaje, Balcón, Perchero, Zona de pícnic, Registro de entrada / salida privado, Calefacción, WiFi gratis, Buen desayuno, Equipamiento de juegos para exterior, Almuerzos para llevar, Habitaciones familiares, Teléfono, Snack-bar, Ventilador, Vistas, Armario, Vistas al jardín, Suelo de moqueta, Cocina compartida, Supermercado pequeño en el alojamiento, WC, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Recepción 24 horas, Bañera, Zona TV / salón de uso compartido, Fruta, Bidet, Chimenea exterior, Zapatillas, Vistas a la montaña, Servicio de planchado, Desayuno en la habitación, Servicio de limpieza diario, Baño privado, Toallas, Inglés, Traslado aeropuerto, Parking adaptado para personas de movilidad reducida, Albanés, Plancha para pantalones, Menús para dietas especiales (bajo petición), Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de habitaciones, Terraza, Jardín, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Acceso al salón executive, Bañera o ducha, Alquiler de coches, Entrada privada, Servicio de aparcacoches, Caja fuerte, TV, Aire acondicionado, Proporciona factura, Salas de reuniones / banquetes, Bar, Restaurante, Terraza / solárium, Mobiliario exterior, Camas extralargas (más de 2 metros), Canales por cable, Habitaciones sin humo, Parking gratis, Minibar, Alarma de seguridad, Servicio de despertador",Elbasan,Albania,"Univers Resort dispone de jardín, salón de uso común, terraza y restaurante en Elbasan. Este hotel de 4 estrellas ofrece cocina compartida y servicio de habitaciones. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, club infantil y wifi gratis en todo el alojamiento.

En el hotel, cada habitación incluye aire acondicionado, armario, balcón con vistas a la montaña, baño privado, TV de pantalla plana, ropa de cama y toallas. En Univers Resort, todas las habitaciones cuentan con zona de estar.

El alojamiento ofrece zona de juegos infantil.

Plaza Skanderbeg está a 41 km del alojamiento, y Teleférico Dajti Ekspres está a 44 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 54 km del alojamiento."
Hotel Golden,US$33,"8,1",Muy bien,48,https://cf.bstatic.com/xdata/images/hotel/max1024x768/383467604.webp?k=f3cd7105febbf5ccb92f1912104eb2b2e0432a4afadcf42402f49031c6a437e4&o=,https://www.booking.com/hotel/al/golden-elbasan1.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, TV de pantalla plana, Peluquería / salón de belleza, Balcón, Jardín, Bañera, Perchero, Recepción 24 horas, Seguridad 24 horas, Papel higiénico, Bidet, Bañera o ducha, Canales vía satélite, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Vistas a la montaña, Secadora de ropa, Plancha para ropa, Extintores, TV, Vistas a la ciudad, Aire acondicionado, WiFi gratis, Desayuno en la habitación, Servicio de streaming (como Netflix), Italiano, Sofá cama, Bar, Equipamiento de juegos para exterior, Detectores de humo, Baño privado, Toallas, Inglés, Vistas, Albanés, Armario, Canales por cable, Habitaciones sin humo, Sofá, Supermercado pequeño en el alojamiento, Parking gratis, WC, Alarma de seguridad",Elbasan,Albania,"Hotel Golden se encuentra en Elbasan, a 41 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis y bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Todas las habitaciones cuentan con un balcón con vistas a la ciudad.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales vía satélite y baño privado con secador de pelo y bidet. Las habitaciones de este alojamiento incluyen aire acondicionado y escritorio.

Teleférico Dajti Ekspres está a 44 km del alojamiento, y Former Residence of Enver Hoxha está a 41 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 54 km del alojamiento."
Admiral Hotel,US$33,"8,1",Muy bien,207,https://cf.bstatic.com/xdata/images/hotel/max1024x768/276365131.webp?k=51f77e099a33b3dd8e75512e0fd5d05eb78fe90d5ec6f0e560818f5aeeb2ee5b&o=,https://www.booking.com/hotel/al/admiral.es.html?aid=2410095,"Ducha, Productos de limpieza, Terraza, TV de pantalla plana, Peluquería / salón de belleza, Perchero, Zona TV / salón de uso compartido, Cajero automático en el hotel, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Bidet, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Registro de entrada / salida privado, Extintores, TV, Artículos de aseo gratis, Cama plegable, Proporciona factura, Aire acondicionado, Calefacción, WiFi gratis, Habitaciones insonorizadas, Información turística, Zona de fumadores, Bar, Tarjeta de acceso, Enchufe cerca de la cama, Aseo adicional, Toallas, Inglés, Insonorización, Parking adaptado para personas de movilidad reducida, Terraza / solárium, Mobiliario exterior, Armario, Habitaciones sin humo, Supermercado pequeño en el alojamiento, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Cambio de moneda, Alarma de seguridad",Elbasan,Albania,"Admiral Hotel se encuentra en Elbasan y dispone de salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento está a 40 km de Plaza Skanderbeg, a 42 km de Teleférico Dajti Ekspres y a 39 km de Former Residence of Enver Hoxha. El alojamiento ofrece cajero automático, mostrador de información turística y cambio de moneda.

En el hotel, cada habitación tiene armario y TV de pantalla plana. Las habitaciones de este alojamiento incluyen aire acondicionado y escritorio.

Grand Park of Tirana está a 39 km del alojamiento, y Postbllok - Checkpoint Monument está a 39 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 52 km del alojamiento."
Kriva Resort,US$43,"8,2",Muy bien,57,https://cf.bstatic.com/xdata/images/hotel/max1024x768/191611303.webp?k=fb8269a332a12926600b483fb9e02d0a8b8dc9c7e7c44eb6b7e0732b6380b26b&o=,https://www.booking.com/hotel/al/kriva-resort-elbasan.es.html?aid=2410095,"Vestidor, Ducha, Productos de limpieza, TV de pantalla plana, Jardín, Perchero, Bañera, Minigolf, Senderismo, Español, Acceso a pisos superiores solo mediante escaleras, Zona de pícnic, Fruta, Griego, Papel higiénico, Bidet, Bañera o ducha, Vistas a un patio interior, Zapatillas, Escritorio, Secador de pelo, Vistas a la montaña, Extintores, Calefacción, Cama plegable, Parque acuático, Aire acondicionado, Zona de comedor exterior, WiFi gratis, Buen desayuno, Cafetería en el alojamiento, Italiano, Patio, Eventos deportivos en directo (emisión), Bar, Detectores de humo, Baño privado, Toallas, Albornoz, Taquillas, Inglés, Discoteca / DJ, Club infantil, Snack-bar, Tarjetas de transporte público, Vistas, Parking adaptado para personas de movilidad reducida, Armario, Canales por cable, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Parking gratis, WC, Vino / champán, Música / espectáculos en directo, Alarma de seguridad",Elbasan,Albania,"Kriva Resort se encuentra en Elbasan, a 41 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis y bar. Este alojamiento, que cuenta con club infantil, también ofrece parque acuático. Todas las habitaciones tienen un patio con vistas a la montaña y wifi gratis.

En el hotel, las habitaciones cuentan con escritorio. Todas las unidades del alojamiento tienen baño privado con bidet y secador de pelo, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también disponen de balcón. Todas las habitaciones disponen de armario.

Teleférico Dajti Ekspres está a 44 km del alojamiento, y Former Residence of Enver Hoxha está a 40 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 53 km."
Vila Bakri Couple Room,US$44,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/519686715.webp?k=fc87a6be4c2a366e16d7397f92f1dc5750a3d8f76b5263a8bb7e57bf2a3d2b24&o=,https://www.booking.com/hotel/al/vila-bakri.es.html?aid=2410095,"Ducha, Desayuno, Terraza, Jardín, TV de pantalla plana, Seguridad 24 horas, Papel higiénico, Bañera o ducha, Alquiler de coches, Alarma de seguridad, Suelo de madera o parquet, Zapatillas, Secador de pelo, Prohibido fumar en todo el alojamiento, Calefacción, TV, Artículos de aseo gratis, Aire acondicionado, WiFi gratis, Nevera, Servicio de streaming (como Netflix), Italiano, Mosquitera, Bar, Restaurante, Llave de acceso, Baño privado, Enchufe cerca de la cama, Toallas, Inglés, Vistas, Armario, Canales por cable, Habitaciones sin humo, Parking gratis, Cámaras de seguridad fuera del alojamiento, WC, Ropa de cama",Elbasan,Albania,"Vila Bakri Couple Room se encuentra en Elbasan, a 38 km de Plaza Skanderbeg, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento ofrece bar y se encuentra a 41 km de Teleférico Dajti Ekspres. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación incluye armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con nevera.

En Vila Bakri Couple Room se puede disfrutar de un desayuno italiano.

Former Residence of Enver Hoxha está a 38 km del alojamiento, y Grand Park of Tirana está a 38 km. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 51 km del alojamiento."
Sofra E Shpatit,US$62,"9,4",Fantástico,73,https://cf.bstatic.com/xdata/images/hotel/max1024x768/137956403.webp?k=fb41d6f40a0d368a2d7fa5ccbe96dba835b5733e35ac59fa1039e8818fd31895&o=,https://www.booking.com/hotel/al/sofra-e-shpatit-elbasan1234567891011121314151617181920212223.es.html?aid=2410095,"Ducha, Desayuno, Terraza, Balcón, Jardín, Bañera, Senderismo, Recepción 24 horas, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Griego, Papel higiénico, Chimenea exterior, Bañera o ducha, Suelo de madera o parquet, Secador de pelo, Servicio de lavandería, Vistas a la montaña, Plancha para ropa, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Artículos de aseo gratis, Aire acondicionado, Zona de comedor exterior, WiFi gratis, Barbacoa, Nevera, Servicio de planchado, Habitaciones insonorizadas, Zona de juegos para niños, Italiano, Esquí, Bar, Restaurante, Llave de acceso, Habitaciones familiares, Inglés, Club infantil, Vistas, Terraza / solárium, Mobiliario exterior, Armario, Vistas al jardín, Habitaciones sin humo, Suelo de moqueta, Menús para dietas especiales (bajo petición), Parking gratis, Cámaras de seguridad fuera del alojamiento, Vino / champán, Tours a pie, Registro de entrada y salida exprés",Elbasan,Albania,"El Sofra E Shpatit cuenta con jardín, bar, zona de barbacoa y terraza y se encuentra en Elbasan. El establecimiento cuenta con restaurante, recepción 24 horas, club infantil y WiFi gratuita. El hotel ofrece vistas a la montaña y un parque infantil.

Todas las habitaciones del hotel tienen balcón. El baño privado incluye bañera, secador de pelo y artículos de aseo gratuitos. Los alojamientos del Sofra E Shpatit cuentan con aire acondicionado y armario.

El establecimiento sirve un desayuno continental.

En las inmediaciones del Sofra E Shpatit se puede practicar esquí.

El aeropuerto más cercano es el Madre Teresa de Tirana, ubicado a 79 km del hotel."
Hotel Colombo Elbasan,US$38,"8,1",Muy bien,81,https://cf.bstatic.com/xdata/images/hotel/max1024x768/26257072.webp?k=df5aa7ea4356797039dfce0a82e6b881c4843010b83196a034a1d69da3af6ac7&o=,https://www.booking.com/hotel/al/colombo.es.html?aid=2410095,"Ducha, Desayuno, Terraza, Jardín, TV de pantalla plana, Recepción 24 horas, 2 piscinas, Escritorio, Servicio de lavandería, Calefacción, De temporada, Artículos de aseo gratis, Aire acondicionado, WiFi gratis, Servicio de planchado, Zona de juegos para niños, Salas de reuniones / banquetes, Bar, Equipamiento de juegos para exterior, Baño privado, Habitaciones familiares, Toallas, Teléfono, Inglés, Ascensor, Club infantil, Parking adaptado para personas de movilidad reducida, Terraza / solárium, Canales por cable, Tobogán de agua, Habitaciones sin humo, Parking gratis, WC, Para todas las edades",Elbasan,Albania,"El Hotel Colombo Elbasan cuenta con piscina al aire libre y restaurante a la carta y se encuentra en el kilómetro 5 de la carretera nacional que va de Elbasan a Librazhd. Hay WiFi gratuita.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana por cable, minibar y baño privado con ducha, toallas y artículos de aseo gratuitos. El desayuno está incluido en el precio.

El Hotel Colombo Elbasan cuenta con recepción 24 horas, bar, zona de juegos para niños y aparcamiento privado gratuito.

El Colombo está a 5 km del centro de Elbasan, a 30 km del parque nacional Shebenik-Jablanice y a unos 50 km del lago Ohrid.

El establecimiento está a 1 km de una estación de autobuses local. La estación principal de autobuses se encuentra en Elbasan. El aeropuerto de Tirana se encuentra a 70 km. Se ofrece servicio de traslado por un suplemento."
