hotel,hotel_url,description,popular_facilities,highres_url,city,country
The Westin Panama,https://www.booking.com/hotel/pa/the-westin-panama.es.html?aid=2410095,"El The Westin Panama ofrece una decoración de estilo moderno y un jardín en la azotea con solárium y piscina, y está a 3 km del centro histórico de la ciudad de Panamá y a 5 minutos en coche del centro comercial Plaza Costa del Este.

Las habitaciones y suites cuentan con aire acondicionado, caja fuerte, escritorio, TV de pantalla plana por cable, cafetera y vistas a la ciudad. Las suites también incluyen minibar, sofá, bañera y una zona de estar.

El The Westin Panamá alberga un restaurante que sirve cocina internacional y una cafetería y presta servicio de habitaciones.

Los huéspedes podrán disfrutar del gimnasio y de los tratamientos de spa que ofrece el hotel. También hay un centro de negocios, instalaciones para reuniones y servicio de lavandería.

El establecimiento se encuentra a 25 minutos en coche de Playa Bonita y a 9 km del centro de la ciudad de Panamá. El aeropuerto internacional de Tocumen se encuentra a 25 minutos en coche y el aeropuerto internacional Marcos A. Gelabert, a 16 km.","Baño privado, Servicio de planchado, Zona de fumadores, Menú para niños, Proporciona factura, Cajero automático en el hotel, Servicio de despertador, Sauna, Abierta todo el año, Servicios de depilación, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Restaurante, Servicio de aparcacoches, Cenas temáticas, Prohibido fumar en todo el alojamiento, Spa y centro de bienestar, Salas de reuniones / banquetes, Fax / fotocopiadora, Desayuno fabuloso, Caja fuerte para ordenador portátil, Secador de pelo, Traslado aeropuerto (gratis), Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Sofá, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Servicio de lavandería, Traslado aeropuerto, Alarma de seguridad, Ropa de cama, Manicura, Terraza, TV de pantalla plana, WiFi gratis, Canales por cable, Italiano, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Radio, Toallas de playa/piscina, Baño de vapor, Alquiler de bicicletas, Caja fuerte, Bañera o ducha, Tratamientos faciales, Sombrillas, Papel higiénico, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Cámaras de seguridad fuera del alojamiento, Artículos de aseo gratis, Snack-bar, Ascensor, Centro de negocios, Pedicura, Servicios de belleza, Tratamientos corporales, Parking privado, 2 restaurantes, Happy hour, Minibar",https://cf.bstatic.com/xdata/images/hotel/max1024x768/463725763.jpg?k=9a1a49267a185ceeba80114fb8b50ab791fc64f2dcb6069e7bb615ba62060329&o=&hp=1,Costa del Este,Panamá
The Westin Playa Bonita Panama,https://www.booking.com/hotel/pa/the-westin-playa-bonita-panama.es.html?aid=2410095,"El The Westin Playa Bonita Panama se encuentra junto a una selva frondosa en la playa Bonita, ofrece vistas al océano Pacífico y alberga un gimnasio abierto las 24 horas, una piscina al aire libre, un spa sensorial y 6 restaurantes.

Las habitaciones deluxe del The Westin Playa Bonita Panama ofrecen vistas al mar o a la selva. Todas tienen TV de pantalla plana, soporte para iPod y cafetera.

Los locales de restauración sirven platos panasiáticos, mediterráneos y de la costa del Pacífico. También hay una parrilla de mariscos, así como bares y bistrós que ofrecen platos más ligeros.

El The Westin Playa cuenta con una pintoresca ubicación a 20 minutos en coche del centro de la ciudad de Panamá. Está bien comunicado con el Puente de Las Américas y se encuentra a 8 km del aeropuerto Marcos A. Gelabert.","Baño privado, Servicio de planchado, Habitaciones comunicadas disponibles, Zona de fumadores, Menú para niños, Proporciona factura, Cajero automático en el hotel, Servicio de despertador, Cafetera, Sauna, Abierta todo el año, Cesta para mascotas, Playa, Plancha para ropa, Masaje de espalda, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Servicio de habitaciones, Instalaciones de spa, WiFi, Masaje en pareja, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Club infantil, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fax / fotocopiadora, 6 restaurantes, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Tours a pie, Masajes, Ducha, Sofá, Español, Buffet para niños, Adaptado personas de movilidad reducida, Zona privada de playa, Servicio de lavandería, Senderismo, Utensilios de planchado, Ping pong, Jardín, Alarma de seguridad, Piscina infantil, Manicura, TV de pantalla plana, Pediluvio, Mobiliario exterior, Canales por cable, Corte de pelo, Masaje de pies, Escritorio, Servicio de limpieza en seco, Extintores, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Peluquería / salón de belleza, Paquetes de spa / bienestar, Zona de spa / relajación, Juguetes para la piscina, Radio, Toallas de playa/piscina, Baño de vapor, Situado frente a la playa, Alquiler de bicicletas, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Billar, Bañera o ducha, Tratamientos faciales, Exfoliación corporal, Sombrillas, Papel higiénico, Música / espectáculos en directo, Masaje corporal completo, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Noches de cine, Tumbonas/sillas de playa, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Adecuada para niños, Artículos de aseo gratis, Snack-bar, Ascensor, Peinado, Centro de negocios, Personal de animación, Pedicura, Servicio de despertador / alarma, 3 piscinas, Servicios de belleza, Tratamientos corporales, Armario, Bar en la piscina, Envoltura corporal, Piscina infinita, Minibar, WC, Aeróbic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495800506.jpg?k=4bb67d9cc26e633bb40636e26e6d0b542a9e4e1d5c0d18cd325ae648b1be9201&o=&hp=1,Costa del Este,Panamá
Beautiful Apartment 2 BR,https://www.booking.com/hotel/pa/beautiful-apartment-2-br.es.html?aid=2410095,"Beautiful Apartment 2 BR, que cuenta con vistas al mar, ofrece alojamiento con balcón a unos 12 km de Estadio Nacional Rod Carew. Este alojamiento con aire acondicionado está a 4,7 km de Estadio Rommel Fernández y ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento tiene 2 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y terraza con vistas a la ciudad.

Puente de Las Americas está a 16 km del alojamiento, y Ancon Hill está a 16 km. El aeropuerto más cercano (Aeropuerto internacional de Tocumen) está a 11 km.","Baño privado, Detector de monóxido de carbono, Cocina, WiFi gratis, Vistas, Tendedero, Vistas a la ciudad, Balcón, Utensilios de cocina, Canales por cable, Productos de limpieza, Baño compartido, Escritorio, Lavadora, Enchufe cerca de la cama, Secador de pelo, Aire acondicionado, Muebles de exterior, Ducha, Sofá, Plancha para ropa, Español, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Vistas al mar, Bañera o ducha, Habitaciones sin humo, Papel higiénico, iPad, Armario, Parking privado, Zona de cocina, Ropa de cama, Camas extralargas (más de 2 metros), Toallas, Nevera, Acceso a pisos superiores en ascensor, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493171967.jpg?k=61db5ba6fcee84d4c1d7540c72d881c38b711712813fc4ad7c561e38e5e3db5c&o=&hp=1,Costa del Este,Panamá
Ramada Plaza by Wyndham Panama Punta Pacifica,https://www.booking.com/hotel/pa/ramada-plaza-panama-punta-pacifica.es.html?aid=2410095,"El Ramada Plaza Panamá - Punta Pacífica cuenta con piscina exterior, spa y centro de bienestar, y está situado en la Ciudad de Panamá. El establecimiento ofrece vistas panorámicas a la ciudad y WiFi gratuita.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana, minibar, soporte para iPod, zona de estar y cafetera.

El Ramada Plaza Panamá - Punta Pacífica alberga un restaurante, centro de fitness, instalaciones para reuniones, salón compartido y mostrador de información turística. También facilita aparcamiento gratuito.

El establecimiento está a 15 minutos en coche del canal de Panamá, a 10 minutos a pie del centro comercial MultiPlaza Pacific y a 8 km del aeropuerto internacional de Tocumen.","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Insonorización, Vistas a la ciudad, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Hipoalergénico, Entrada privada, Plancha para ropa, WC con barras de apoyo, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Servicio de habitaciones, Almuerzos para llevar, Camas extralargas (más de 2 metros), Suelo de madera o parquet, Tarjeta de acceso, Guardaequipaje, Nevera, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Horario de apertura, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Desayuno fabuloso, Caja fuerte para ordenador portátil, Soporte para iPod, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Sofá, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Piscina en la azotea, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Traslado aeropuerto, Utensilios de planchado, Servicio de limpieza diario, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Cuerda de emergencia en el baño, TV de pantalla plana, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Radio, Toallas de playa/piscina, Caja fuerte, Adaptado para sillas de ruedas, Bañera o ducha, Sombrillas, Papel higiénico, Reloj despertador, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Servicio de traslado, Apoyo visual: braille, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, WC elevado, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Armario, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/473539801.jpg?k=5cdd999519c9475f8dd8dc3bc862cecd581a83df4fd8e224c07d3cbd4d4f77d2&o=&hp=1,Costa del Este,Panamá
SERENADE Lodging Rooms,https://www.booking.com/hotel/pa/serenade-lodging-rooms.es.html?aid=2410095,"SERENADE Lodging Rooms se encuentra en Panamá y ofrece wifi gratis, jardín, salón de uso común y terraza.

Algunas unidades disponen de TV de pantalla plana por cable, zona de cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

Estadio Rommel Fernández está a 8,2 km del alojamiento, y Estadio Nacional Rod Carew está a 9,3 km. El aeropuerto más cercano (Aeropuerto internacional de Albrook Marcos A. Gelabert) está a 12 km.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Zona de fumadores, Fax / fotocopiadora, Servicio de limpieza en seco, Karaoke, Buen desayuno, Aire acondicionado, Habitaciones familiares, Parking gratis, Español, Habitaciones hipoalergénicas, Caja fuerte, Inglés, Servicio de lavandería, Habitaciones sin humo, Servicio de limpieza diario, Jardín, Llave de acceso, Tarjeta de acceso, Taquillas, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/228296603.jpg?k=d4cfce7d18b481d19b20b03444036ad43b1e205bef342c91ba9e20dfd8a954d5&o=&hp=1,Costa del Este,Panamá
Courtyard by Marriott Panama Metromall,https://www.booking.com/hotel/pa/courtyard-panama-metromall.es.html?aid=2410095,"El Courtyard by Marriott Panama at Metromall Mall cuenta con restaurantes, tiendas y entretenimiento. El establecimiento está situado a solo 8 km del Aeropuerto Internacional de Tocumen y a 15 km del centro de la ciudad de Panamá. El establecimiento también ofrece gimnasio y piscina al aire libre rodeada de jardines. Se proporciona servicio de enlace con el aeropuerto disponible por un suplemento de 15 USD.

Las habitaciones elegantes disponen de aire acondicionado, TV LCD de 32 pulgadas, conexión WiFi y por cable de alta velocidad gratuita, ventanas insonorizadas exclusivas, sábanas de algodón egipcio de 300 hilos y cubrecolchón de plumas de lujo.

El Courtyard by Marriott Panama at Metromall Mall tiene bar en el vestíbulo y restaurante que ofrece buffet y platos a la carta. Se proporciona servicio de habitaciones.

A solo unos pasos del vestíbulo, el centro comercial Metromall ofrece más de 260 tiendas, cafeterías, restaurantes y bares. El centro financiero de la ciudad de Panamá se encuentra a unos 20 minutos en coche, mientras que el canal de Panamá está a 30 minutos en coche.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Insonorización, Habitaciones comunicadas disponibles, Vistas a la ciudad, Zona de fumadores, Menú para niños, Lavadora, Servicio de despertador, Cafetera, Entrada privada, Plancha para ropa, WC con barras de apoyo, Suelo de moqueta, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Bañera, Servicio de habitaciones, Máquina expendedora (bebidas), Habitaciones sin humo, Almuerzos para llevar, Tarjeta de acceso, Guardaequipaje, Nevera, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Soporte para iPod, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Máquina expendedora (aperitivos), Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, TV de pantalla plana, Campo de golf (a menos de 3 km), WiFi gratis, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, Extintores, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Radio, Toallas de playa/piscina, Alquiler de bicicletas, Caja fuerte, Adaptado para sillas de ruedas, Secadora de ropa, Bañera o ducha, Papel higiénico, Reloj despertador, Toallas, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Servicio de traslado, Apoyo visual: braille, Artículos de aseo gratis, Snack-bar, Ascensor, Centro de negocios, WC elevado, Servicio de despertador / alarma, Armario, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/451104315.jpg?k=2bf19aec9367fcbd58e61ae441a23126c6fc150d36e310ee3179033e49b21cd1&o=&hp=1,Costa del Este,Panamá
Sheraton Grand Panama,https://www.booking.com/hotel/pa/sheraton-panama-and-convention-center.es.html?aid=2410095,"El Sheraton Grand Panama se encuentra en Panamá, frente al centro de convenciones de Atlapa y a 10 minutos en coche del aeropuerto internacional de Tocumen. El establecimiento cuenta con piscina al aire libre y spa.

Las habitaciones del Sheraton Grand Panama presentan una decoración agradable y disponen de aire acondicionado, TV de pantalla plana y set de té/café. El baño cuenta con secador de pelo y artículos de aseo.

El restaurante Cafe Bahia prepara comidas buffet para desayunar, almorzar y cenar. El bar asador Crostini tiene una cocina abierta y sirve varios tipos de bebidas y platos, como carne de vacuno importada y marisco fresco. La panadería Las Hadas está abierta las 24 horas y el hotel alberga un bar en el vestíbulo principal.

El spa del Sheraton cuenta con bañera de hidromasaje, baño de vapor y sauna. Los tratamientos incluyen masajes y tratamientos faciales. El gimnasio abre las 24 horas y ofrece clases de aeróbic, pilates y baile de forma gratuita.

El Sheraton Grand Panama cuenta con varias tiendas, un salón de belleza y un mostrador de alquiler de coches. A unos 5 minutos a pie del hotel se pueden encontrar varios bares y restaurantes. El establecimiento también alberga un centro de negocios con ordenadores, conexión a internet e impresora. El centro comercial Multiplaza está a poca distancia a pie o a 5 minutos en coche","Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Vistas a la ciudad, Masaje de cabeza, Menú para niños, Proporciona factura, Cajero automático en el hotel, Terapia con luz, Sauna, Pista de tenis, Abierta todo el año, Cesta para mascotas, Registro de entrada / salida privado, Masaje de espalda, Gimnasio, Detectores de humo, Zona de juegos para niños, Registro de entrada y salida exprés, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Instalaciones de spa, Almuerzos para llevar, WiFi, Masaje en pareja, Tarjeta de acceso, Guardaequipaje, Restaurante, Servicio de aparcacoches, Cenas temáticas, Prohibido fumar en todo el alojamiento, 4 restaurantes, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Masaje de manos, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Ping pong, Servicio de limpieza diario, Jardín, Alarma de seguridad, Terraza, Mobiliario exterior, Masaje de pies, Servicio de limpieza en seco, Extintores, Karaoke, Buen desayuno, Piscina al aire libre, Equipamiento de tenis, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Baño de vapor, Caja fuerte, Boles para mascotas, Tratamientos faciales, Exfoliación corporal, Sombrillas, Música / espectáculos en directo, Bañera de hidromasaje / jacuzzi, Masaje corporal completo, Servicio de conserjería, Cafetería en el alojamiento, Desayuno en la habitación, Información turística, Tumbonas/sillas de playa, Casino, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Snack-bar, Ascensor, Centro de negocios, Servicios de belleza, Tratamientos corporales, Envoltura corporal, Happy hour, Taquillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/463153440.jpg?k=d7aa46bf5ed4b43105cb6ea95c0afdd0c1bb78bf62876a0d4a902fb01e621617&o=&hp=1,Costa del Este,Panamá
Aloft Panama,https://www.booking.com/hotel/pa/aloft-panama.es.html?aid=2410095,"El Aloft Panamá se encuentra en la ciudad de Panamá, junto al centro de convenciones Atlapa. Este hotel moderno alberga un bar de autoservicio abierto las 24 horas, el Re:Fuel, que ofrece sándwiches, wraps y ensaladas. También hay un gimnasio y una piscina al aire libre.

Las habitaciones y suites disponen de TV por cable de pantalla plana, aire acondicionado y nevera. Las suites también cuentan con zona de comedor y cafetera. Además, los alojamientos disponen de baño privado con ducha, artículos de aseo de lujo y secador de pelo. Por otra parte, todas las habitaciones tienen caja fuerte, utensilios de planchado y escritorio con un panel de conexión y silla ergonómica.

El Aloft Panamá cuenta con recepción las 24 horas, terraza y bar. Asimismo, dispone de instalaciones para reuniones, salón compartido y sala de juegos. El establecimiento también facilita aparcamiento gratuito.

El hotel Aloft Panamá se encuentra a pocos minutos de diversas oficinas corporativas, centros comerciales, restaurantes, tiendas y lugares de interés de la zona. Se encuentra a 4,7 km del parque nacional Metropolitano y a 5,2 km del Museo del Canal de Panamá y el palacio presidencial. El aeropuerto internacional de Tocumen se sitúa a 15 minutos en coche.","Galerías de arte temporales, Restaurante, Servicio de planchado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Vistas a la ciudad, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Servicio de traslado, Zona de juegos interior, Servicio de limpieza en seco, Proporciona factura, Extintores, Parking en un garaje, Karaoke, Parking adaptado para personas de movilidad reducida, Buen desayuno, Piscina al aire libre, Snack-bar, Abierta todo el año, Seguridad 24 horas, Ascensor, Bar, Recepción 24 horas, Cesta para mascotas, Aire acondicionado, Alquiler de coches, Baños públicos, Registro de entrada / salida privado, Habitaciones familiares, Centro de negocios, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Gimnasio, Alquiler de bicicletas, Detectores de humo, Caja fuerte, Registro de entrada y salida exprés, Servicio de lavandería, Boles para mascotas, Inglés, Billar, Máquina expendedora (aperitivos), Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Música / espectáculos en directo, Servicio de habitaciones, Vino / champán, Máquina expendedora (bebidas), Servicio de conserjería, Alarma de seguridad, Almuerzos para llevar, Entretenimiento nocturno, Happy hour, Cafetería en el alojamiento, Tarjeta de acceso, Guardaequipaje, Información turística, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/467529869.jpg?k=fd2d750c3db0ac7e064a070ae621b585b8809959b6d3643e02876b4b4f631c18&o=&hp=1,Costa del Este,Panamá
New Breathe Urban Apartment - PH Quartier 74,https://www.booking.com/hotel/pa/new-breathe-urban-apartment-ph-boutique-quartier-74.es.html?aid=2410095,"New Breathe Urban Apartment - PH Quartier 74 está en Panamá y dispone de alojamiento a 10 km de Estadio Nacional Rod Carew, a 12 km de Puente de Las Americas y a 12 km de Ancon Hill. Este alojamiento con aire acondicionado está a 7,7 km de Estadio Rommel Fernández y ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento tiene 2 dormitorios, TV con canales vía satélite, una cocina equipada con nevera y horno, lavadora y 2 baños con ducha. Hay toallas y ropa de cama en el apartamento.

Museo del Canal Interoceánico de Panamá está a 8,5 km del alojamiento, y Palacio Presidencial está a 9 km. El aeropuerto más cercano (Aeropuerto internacional de Albrook Marcos A. Gelabert) está a 10 km.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Utensilios de cocina, Canales vía satélite, Lavadora, Horno, Cafetera, Secador de pelo, Tetera / cafetera, Fogones, Ascensor, Aire acondicionado, Ducha, Plancha para ropa, Parking gratis, Español, TV, Gimnasio, Inglés, Secadora de ropa, Bañera o ducha, Utensilios de planchado, Habitaciones sin humo, Microondas, Ropa de cama, Tostadora, Toallas, Nevera",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484364510.jpg?k=9bf16573a2906b6f657871b65a9ebe03a1e1f21e602fdaa42207ea84ae53baa0&o=&hp=1,Costa del Este,Panamá
Eden`s Garden Hostel,https://www.booking.com/hotel/pa/edens-garden-hostal.es.html?aid=2410095,"Eden`s Garden Hostel está en Panamá y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento se encuentra a 8,6 km de Estadio Rommel Fernández, a 9,1 km de Estadio Nacional Rod Carew y a 11 km de Puente de Las Americas. El alojamiento dispone de cocina compartida y mostrador de información turística.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Todas las habitaciones disponen de baño privado y aire acondicionado, y algunas tienen además balcón. En el albergue, las habitaciones cuentan con ropa de cama y toallas.

Hay opciones buffet o americanas de desayuno disponibles cada mañana en Eden`s Garden Hostel.

Ancon Hill está a 12 km del alojamiento, y Museo del Canal Interoceánico de Panamá está a 8,1 km. El aeropuerto (Aeropuerto internacional de Albrook Marcos A. Gelabert) está a 10 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Canales por cable, Zona de fumadores, Servicio de traslado, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Lavadora, Proporciona factura, Extintores, Zona de comedor exterior, Tarjetas de transporte público, Desayuno fabuloso, Enchufe cerca de la cama, Juegos de mesa / puzles, Barandillas protectoras para bebés, Cafetera, Seguridad 24 horas, Peluquería / salón de belleza, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Plancha para ropa, Terraza / solárium, Español, Plancha para pantalones, Inglés, Servicio de lavandería, Secadora de ropa, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Vino / champán, Papel higiénico, Servicio de limpieza diario, Armario, Nevera, Jardín, Zona de cocina, Microondas, Llave de acceso, Toallas, Minibar, Información turística, Ropa de cama, WC, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/276693118.jpg?k=63caf2245717f3eac36123bd2b82f76363b8ba13ffe70d4c887b97f47480e46e&o=&hp=1,Costa del Este,Panamá
