hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Casa Linda Guatape,https://www.booking.com/hotel/co/y-restaurante-casa-linda.es.html?aid=2410095,"Hotel Casa Linda Guatape se encuentra en Guatapé, a 16 min a pie de Piedra del Peñol, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas ofrece bar. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones tienen baño privado y ropa de cama.

Hay opciones a la carta o americanas de desayuno disponibles todas las mañanas en Hotel Casa Linda Guatape.

El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 40 km.","Terraza, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Cambio de moneda, Vistas, Recepción 24 horas, Baño privado, Jardín, Extintores, TV, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Desayuno fabuloso, Ropa de cama, Vistas al lago, Menús para dietas especiales (bajo petición), Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Servicio de traslado, Zona de fumadores, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581748475.jpg?k=c6bb469cde2b210747a412040911c61b81de41bf92f0799a818d279690e41c98&o=&hp=1,Guatapé,Colombia
Hotel Real Guatapé,https://www.booking.com/hotel/co/real-guatape.es.html?aid=2410095,"Hotel Real Guatapé ofrece alojamiento en Guatapé. Este hotel de 3 estrellas ofrece recepción 24 horas, mostrador de información turística y wifi gratis. Este alojamiento libre de humo se encuentra a 3,3 km de Piedra del Peñol.

Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En el hotel, todas las habitaciones tienen TV de pantalla plana con canales por cable.

El aeropuerto (Aeropuerto Internacional José María Córdova) está a 43 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Mobiliario exterior, Canales por cable, Llave de acceso, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586294550.jpg?k=1391ca688f7b89a07a972293e7efbe13298edffb18b18b794b48ae0125f1270a&o=&hp=1,Guatapé,Colombia
Hotel Guatatur,https://www.booking.com/hotel/co/guatatur.es.html?aid=2410095,"Este hotel presenta un estilo urbano y ofrece habitaciones con WiFi y un balcón privado con vistas a la bonita ciudad de Guatapé y al lago. Los huéspedes podrán practicar piragüismo, equitación y pesca.

El Hotel Hotel Guatatur ofrece habitaciones decoradas con gusto, con suelo de parquet de color claro, interiores de ladrillo rojo y cortinas coloridas. Las habitaciones están equipadas con TV por cable, minibar y baño con bañera. Algunas habitaciones cuentan con un jacuzzi con vistas al lago.

El restaurante ofrece excelentes vinos y sirve un completo desayuno buffet que incluye frutas tropicales y productos de la región.

Los huéspedes podrán disfrutar de vistas panorámicas a la ciudad colonial y al bosque que rodea al hotel desde la terraza de la azotea, o caminar 3 calles hasta el Museo de la ciudad. El histórico monasterio de Santa María de la Epifanía se encuentra a 1 km.","Terraza, Prohibido fumar en todo el alojamiento, Teléfono, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, TV, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Servicio de planchado, Guardaequipaje, Servicio de lavandería, WC, Terraza / solárium, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502302482.jpg?k=c4c1ae27552c4bce48276e5a4c3c6fb933331b8c7dd49fc714fe7f5b413c17d7&o=&hp=1,Guatapé,Colombia
Hotel Casa Verde Guatapé,https://www.booking.com/hotel/co/hospedaje-guatape-guatape1.es.html?aid=2410095,"Hotel Casa Verde Guatapé se encuentra en Guatapé, a 3,6 km de Piedra del Peñol, y dispone de terraza, habitaciones libres de humo y wifi gratis. El alojamiento ofrece cocina compartida, servicio de habitaciones y servicio de organización de tours.

El albergue dispone de algunas unidades con vistas incluyen, y todas tienen baño privado con ducha.

El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 43 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Cafetería en el alojamiento, Habitaciones sin humo, Inglés, Baño privado, Extintores, Traslado aeropuerto, Información turística, Registro de entrada / salida privado, Servicio de traslado, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Proporciona factura, Cesta para mascotas, Alquiler de bicicletas, Llave de acceso, Guardaequipaje, Terraza / solárium, Toallas, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579276342.jpg?k=690a2b5613979333a918c9940e75586e99009ed4fd3de206253e24d8c6a54baa&o=&hp=1,Guatapé,Colombia
Hotel Lagos de Guatape,https://www.booking.com/hotel/co/lagos-de-guatape.es.html?aid=2410095,"Hotel Lagos de Guatape está en Guatapé, a 3,8 km de Piedra del Peñol, y tiene terraza, habitaciones libres de humo y wifi gratis. Se ofrece servicio de traslado.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

El aeropuerto (Aeropuerto Internacional José María Córdova) está a 44 km.","Terraza, Prohibido fumar en todo el alojamiento, Baño privado, Extintores, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, Servicio de traslado, WiFi gratis, Detectores de humo, Ducha, Servicio de habitaciones, Llave de acceso, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/110774007.jpg?k=86eb58fe72e3d60cde35ad5af92f49025a82be6a9f358cfb9c23bef8978daab0&o=&hp=1,Guatapé,Colombia
Hotel Las Vegas,https://www.booking.com/hotel/co/las-vegas-guatape.es.html?aid=2410095,"Hotel Las Vegas, que cuenta con salón de uso común, terraza y vistas a la ciudad, se encuentra en Guatapé, a 3,3 km de Piedra del Peñol. Algunas unidades del alojamiento incluyen un balcón con vistas a la montaña.

Algunas habitaciones tienen cocina con nevera, lavavajillas y horno.

La clientela puede practicar actividades en Guatapé y alrededores, como ciclismo.

El personal, que habla inglés y español, ofrece información en la recepción.

El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 43 km del alojamiento.","Terraza, Entretenimiento nocturno, Recepción 24 horas, Inglés, Extintores, Ciclismo, Discoteca / DJ, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Tours en bici, Seguridad 24 horas, WiFi gratis, Ruta de bares, Zona de fumadores, Pesca, Tours a pie, Llave de acceso, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Billar, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519400373.jpg?k=323336134d36f4cb6d169b6ec7319ac962226a1fe858bc41476596e8f147754b&o=&hp=1,Guatapé,Colombia
Lake View Hostel,https://www.booking.com/hotel/co/lake-view-hostel.es.html?aid=2410095,"El Lake View Hostel ofrece alojamiento con WiFi gratuita en Guatapé, a 46 km de Medellín.

La recepción está abierta las 24 horas.

En la zona se pueden practicar diversas actividades, como excursiones en barco, parapente, puenting y café, entre otras.  El aeropuerto internacional José María Córdova está a 30 km.","Terraza, Juegos de mesa / puzles, Piragüismo, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Senderismo, Servicio de limpieza diario, Inglés, Extintores, Ciclismo, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Tours en bici, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Detectores de humo, Enchufe cerca de la cama, Aeróbic, Zona de fumadores, Mobiliario exterior, Taquillas, Alquiler de bicicletas, Parque acuático, Equitación, Eventos deportivos en directo (emisión), Guardaequipaje, Servicio de lavandería, WC, Terraza / solárium, Francés, Toallas, Español, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488759476.jpg?k=15e2d866025b5bfab5d339e246c73a61bc69ed752bfab50ba74f76dc8a285385&o=&hp=1,Guatapé,Colombia
NOMADA HOTEL GUATAPE,https://www.booking.com/hotel/co/nomada-guatape.es.html?aid=2410095,"NOMADA HOTEL GUATAPE está en Guatapé, en la región de Antioquia, a 3,9 km de Piedra del Peñol. El alojamiento dispone de recepción 24 horas y mostrador de información turística.

Las unidades de este alojamiento están equipadas con TV de pantalla plana y caja fuerte. Las habitaciones del alojamiento tienen wifi gratis y baño privado con bidet y artículos de aseo gratuitos. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

En NOMADA HOTEL GUATAPE se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 44 km.","Desayuno, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Extintores, TV, Tour o clase sobre cultura local, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, Cesta para mascotas, Pesca, Productos de limpieza, Tours a pie, Bidet, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/511804190.jpg?k=0cfeddd9ef4260aef40166de4d2768fcfe35090330e83c9d4349e8d95d5ab742&o=&hp=1,Guatapé,Colombia
Hotel Verony Guatape,https://www.booking.com/hotel/co/verony-guatape.es.html?aid=2410095,"Hotel Verony Guatape está en Guatapé, a 12 min a pie de Piedra del Peñol, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hotel, cada habitación dispone de armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Hotel Verony Guatape ofrece algunas habitaciones con vistas al lago, y todas cuentan con balcón. Todas las habitaciones cuentan con nevera.

En el alojamiento se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto Internacional José María Córdova) está a 41 km.","Juegos de mesa / puzles, Sombrillas, Horario de apertura, Piscina climatizada, Almuerzos para llevar, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Bañera o ducha, Habitaciones sin humo, Cambio de moneda, Recepción 24 horas, Cenas temáticas, Ventilador, Baño privado, Jardín, Extintores, Armario, Vino / champán, Perchero, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Entrada privada, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Canales por cable, Piscina al aire libre, Tarjeta de acceso, Servicio de planchado, Para todas las edades, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Instalaciones para deportes acuáticos en el alojamiento, Balcón, Adaptado personas de movilidad reducida, Toallas, TV de pantalla plana, Habitaciones familiares, Abierta todo el año, Tumbonas/sillas de playa, Ascensor, Nevera, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496687607.jpg?k=25aad2239bcdf9a10f10f095337cb005ca3c55c9dc017a9968544db4591afbd2&o=&hp=1,Guatapé,Colombia
Apartahotel El Horizonte,https://www.booking.com/hotel/co/apartaestudio-en-guatape.es.html?aid=2410095,"Apartahotel El Horizonte se encuentra en Guatapé, a 4,4 km de Piedra del Peñol, y ofrece alojamiento con wifi gratis, terraza y bar.

Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y microondas.

El apartamento ofrece zona de juegos infantil.

Después de un día de senderismo o pesca, la clientela puede relajarse en el jardín o el salón de uso común.

El aeropuerto más cercano (Aeropuerto Internacional José María Córdova) está a 44 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Zona de juegos para niños, Senderismo, Adaptado para sillas de ruedas, Baño privado, Jardín, Extintores, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Servicio de traslado, WiFi gratis, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Pesca, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Billar, Adaptado personas de movilidad reducida, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/168143923.jpg?k=9d74504b6b118db6927a913f5b21075103b40690c231738a4f24a7a62671fb97&o=&hp=1,Guatapé,Colombia
